shop_name,business_type,owner_name,phone,email,address,city,business_hours,url,domain,site_type,score,grade,reasons
ルームセラピールームセラピー,不明,,0520-1-800,,,,,https://room-therapy.com/,room-therapy.com,wordpress,80,A,wordpress; no_pricing; no_booking; no_access; no_profile
ameblo,整体,,08006931574,,,,,https://ameblo.jp/salon-masako/,ameblo.jp,ameblo,70,A,ameblo; no_pricing; no_booking; no_profile
伝わる話し方をマスターする!!】オンライン個別相談,不明,担当,03-6384-0231,info@motivation-communication.com,楽しさを知る。会社員として勤務しながら、名古屋市内大手タレント事務所のアナウンススクールに2年間通い、話し方の基礎を徹底的に学ぶ。その後、会社を退職し、ブライダルの司会者としてデビューする。現在は、伝,新宿区,,https://peraichi.com/landing_pages/view/6wgx5/,peraichi.com,peraichi,70,A,peraichi; no_pricing; no_booking; no_access
旅ソム｜旅行のソムリエ,マッサージ,,047-355-3333,,ラホテル系列，ハイクラスホテル，東京都，中央区銀座，東銀座駅，銀座駅，築地市場駅，銀座一丁目駅，新橋駅，有楽町駅，JR，東京メトロ，都心地下鉄，ゆりかもめ，ラウンジあり 5つ星ホテル ABホテル系列,千代田区,,https://trip-sommelier.com/10178.html,trip-sommelier.com,ameblo,70,A,ameblo; no_pricing; no_booking; no_profile
PCRI 心理カウンセリングルーム飯田橋,不明,,03-5269-0187,,時間 月 火 水 木 金 土 日 10:00-13:00 ◯ ◯ ◯ ▲ ◯ ◯ ▲ 14:30-1,新宿区,,https://pcri.jp/service/counseling/,pcri.jp,wordpress,60,A,wordpress; no_booking; no_access
カウンセラー・サロン紹介,不明,,03-6276-7800-,,受付時間 10:00～20:00(年中無休定休) お問い合わせはこちら カウンセラー・サロン紹介 悩,渋谷区,,https://officeyu.co.jp/salon/,officeyu.co.jp,wordpress,50,B,wordpress; no_booking
新宿の疲れた大人の為のリラクゼーションサロン「アロマセラピーサロン ネロリ」,エステ,,090-6473-6563,nico_adeos@yahoo.co.jp,-6563 ※非通知解除でお願いします。 nico_adeos@yahoo.co.jp LINE Ｑ,,10:00〜19:30,https://neroli-saron.com/,neroli-saron.com,ameblo,50,B,ameblo; no_profile
傾聴力入門講座,ヨガ,株式会社,09064448041,amenochihare.o.v@gmail.com,ガー・PRディレクターとしても活動中。 北海道教育大学札幌校卒業。 教育方法学専攻、美術科教育法副専攻。 2007年より神奈川県の公立小学校に10年間勤務。2009年に結婚、2011年に長男、2013,杉並区,,https://8z2zl.hp.peraichi.com/,8z2zl.hp.peraichi.com,peraichi,50,B,peraichi; no_access
新宿区・心理カウンセリングを受けられる病院-病院・クリニック,エステ,病院なび,03-5579-8290,jquery-ui@1.14.1,ホームページへ 診療時間 月 火 水 木 金 土 日 祝 9:00～20:00 ● ● 10:00～,千代田区,,https://byoinnavi.jp/tokyo/shinjukuku/q01,byoinnavi.jp,wordpress,50,B,wordpress; no_pricing
東京ビルマップ,マッサージ,天ぷらという料理を通 し,02204061232,,東京ビルマップ 丸の内 千代田区 中央区 港区 新宿区 渋谷区 品川区 豊島区 文京区 台東区 マンション ホテル お問い合わせ 運営者情報 丸の内 千代田区 文京区 品川区 台東区,千代田区,,https://building.tokyo/roppongihills-mori-tower/,building.tokyo,wordpress,50,B,wordpress; no_booking
