shop_name,business_type,owner_name,phone,email,address,city,business_hours,url,domain,site_type,score,grade,reasons
レンタルスペースサイト「カシカシ」,不明,"Tomoyasu works Co.,Ltd",02505222305,gasparesganga-jquery-loading-overlay@2.1.7,【墨田区】美容・セラピー向けの人気レンタルスペース｜カシカシ ログイン ユーザー（利用者） ログイン オーナー（掲載者） ログイン 新規登録 ユーザー（利用者）,千代田区,,https://kashispace.com/room/city/64?category_type=beauty,kashispace.com,note,85,A,note; no_pricing; no_booking; no_access; sns_redirect
e-q,エステ,オシャレな内装のワン ルームで健全なマッサ,090-4918-4160,,-4160 地域一の高待遇に加えアットホームな雰囲気で働きやすい環境をお約束いたします。 一緒に店舗,墨田区,,https://www.e-q.jp/13077/,www.e-q.jp,wordpress,70,A,wordpress; no_pricing; no_booking; no_access
としくんの「ぶらぶラーメン日記」,不明,案外お若い店主さん夫 妻,08008101551,,ラーメン 珉珉 @墨田区 〜「半パーコーメン（塩・パーコー別皿）」 | としくんの「ぶらぶラーメン日記」 ホーム ピグ アメブロ 芸能人ブログ 人気ブログ 新規登録 ログイン と,墨田区,,https://ameblo.jp/toshikun0316/entry-12875421224.html,ameblo.jp,ameblo,60,A,ameblo; no_booking; no_profile
スウェディッシュマッサージのFLOWボディセラピースクール,エステ,一般社団法人スウェデ ィッシュ,080-1234-5678,flow@bflow.jp,増えました （３０代・アロマセラピスト・東京都） 私の 身体の使い方がまず変わりました 。手を酷使して痛めることがないように、腰や首に負担が極力かからないようにご指導頂いたこ とで、 施術中に集中力が,中央区,,https://peraichi.com/landing_pages/view/flowbody,peraichi.com,peraichi,50,B,peraichi; no_access
東京都メンズエステ,エステ,メモ,04279423295,,日本橋 豊島区 品川区 港区 中央区 千代田区 秋葉原 世田谷区 立川市 新宿 北区 池袋 八王子市 関東 関東 東京都 神奈川県 千葉県 埼玉県 茨城県 栃木県 群馬県 関西 関西 大阪府 兵庫県,千代田区,,https://ore-aroma.jp/matome/Mx84t88ljaqsom/,ore-aroma.jp,peraichi,40,B,peraichi
MAHINA-東京都両国のプライベートサロン,マッサージ,,03-3631-7754,wght@200..900,施術中は大変申し訳ございませんが 電話に出ることができません。 ご予約やお問い合わせはInstagr,墨田区,10:00 〜 20:00,https://mahinaprivatespa.jp/,mahinaprivatespa.jp,wordpress,40,B,wordpress
墨田区向島癒しのアロマエステサロンくつろぎ,エステ,代表ブログはこちら,0120-36-9265,happy@gt-daruma.com,東京都墨田区向島3−34−13 オープンロードガーデン１FーB (とうきょうスカイツリー駅 徒歩３分,墨田区,,https://www.gt-daruma.jp/,www.gt-daruma.jp,ameblo,40,B,ameblo
東京エリア女性風俗店トップ３：女性に選ばれたベストサロン(インスタグラマーT . Minami）,整体,東京,06-6854-696,,谷市 松戸市 八千代市 四街道市 千葉市中央区 海浜幕張 群馬 前橋 みどり市 高崎市 玉村町 福岡 福岡市 中央区警固 小郡市 北九州市 福津市 福岡市中央区 福岡市早良区 博多 直方市 行橋市 久,中央区,,https://pepper-boo.com/東京/,pepper-boo.com,wordpress,40,B,wordpress
墨田区にあるレンタルスペース【表現スペース4】カフェ・サロン・個展・イベント等にご活用ください,エステ,,09055545709,scroll-hint@1.1.10,セラピースペース｜墨田区のレンタルスペース【表現スペース4】 墨田区にあるレンタルスペース【表現スペース4】 カフェ・サロン・個展・イベント等にご活用ください まずメールかお電話,墨田区,,https://www.hyogenspace4.com/therapy-space/,www.hyogenspace4.com,wordpress,40,B,wordpress
massage,整体,セラピスト,050-5243-5685,kairakuizumi@yahoo.co.jp,-0455 LINE ID: ＠nem1856l ログイン Home コース・料金 お得なキャンペー,千代田区,,https://kairakuizumi.wixsite.com/massage,kairakuizumi.wixsite.com,wix,40,B,wix
