shop_name,business_type,owner_name,phone,email,address,city,business_hours,url,domain,site_type,score,grade,reasons
横浜市泉区 相鉄線 緑園都市近郊 川崎市高津区 溝の口近郊 おやこサロンYurari（ユラリ）,不明,,,yurari.salon@gmail.com,金／土曜のみ不定期 定休日： 日・祝日 神奈川県横浜市泉区緑園 緑園都市駅徒歩７分 mail. yurari.salon@gmail.com ご予約フォーム・お問合せはこちら＞ プライバシーポリシー,神奈川県,10:00 - 17:00,https://yurari-baby-aroma.com/,yurari-baby-aroma.com,ameblo,85,A,ameblo; no_pricing; no_access; no_profile; sns_redirect
momon-ga,不明,,,,,,,https://momon-ga.com/magazine/,momon-ga.com,wordpress,70,A,wordpress; no_booking; no_access; no_profile
ameblo,不明,,0056622369,,,神奈川県,,https://ameblo.jp/cipher-kinesiology/,ameblo.jp,ameblo,70,A,ameblo; no_pricing; no_booking; no_profile
自然はぐくみ療法室,スピリチュアル,,,,,神奈川県,,https://lucky-soul.shopinfo.jp/,lucky-soul.shopinfo.jp,ameblo,70,A,ameblo; no_pricing; no_booking; no_access
旅ソム｜旅行のソムリエ,マッサージ,,03-3505-1111,,ラホテル系列，ハイクラスホテル，東京都，中央区銀座，東銀座駅，銀座駅，築地市場駅，銀座一丁目駅，新橋駅，有楽町駅，JR，東京メトロ，都心地下鉄，ゆりかもめ，ラウンジあり 5つ星ホテル ABホテル系列,千代田区,,https://trip-sommelier.com/1791.html,trip-sommelier.com,ameblo,70,A,ameblo; no_pricing; no_booking; no_profile
東京都のレンタルサロン,エステ,セラピストガーデン,,,セラピストガーデン All Rights Reserved. Designed by 癒しサロンのホ,千代田区,,https://atmark-salon.com/theragarden/tokyo/,atmark-salon.com,wordpress,60,A,wordpress; no_pricing; no_booking
メンズエステ体験談・口コミ投稿サイト 男のお得情報局,エステ,本体験談に掲載出来て いない情報や,0919543488,mensinformation.otoko@gmail.com,町メンエス『LIRICA OSAKA』 東京都福生市メンエス『NATURA(ナチュラ)』 神奈川県相模原メンズエステ『NeoNATURA』 メンズエステ人気ランキング[エリア別TOP10] カテゴリー,中央区,,https://mensinformation.net/kanagawa/mans-preasure-spa-kawasaki1/,mensinformation.net,wordpress,60,A,wordpress; no_booking; no_access
脊椎セラピーサロンフェリシモ,ヘアサロン,,044-888-9553,intl-segmenter@11.7.10,神奈川県川崎市高津区下作延3-18-2 地下1階 電話番号： 044-888-9553 ※美容室テレ,神奈川県,,https://www.therese-hair.com/,www.therese-hair.com,wix,60,A,wix; no_booking; no_profile
メディカルプライベートサロン,マッサージ,深眠,076-4753-8303,intl-segmenter@11.7.10,,川崎市,,https://www.lamano-medical.com/price,www.lamano-medical.com,wix,60,A,wix; no_booking; no_access
合同会社ローカルドア,不明,合同会社ローカルドア 代表,076-4753-8303,goodpwlife@gmail.com,不登校と高校中退を経て立教大学卒。新卒で川崎市役所に入庁。NPOを通じてコーチングや人材育成事業などにも携った後、合同会社ローカルドアを設立して独立。 個人の意欲と力を引き出すパーソナルコーチングの技,川崎市,,https://www.k-localdoor.com/,www.k-localdoor.com,wix,60,A,wix; no_booking; no_access
room-kanaenoki,不明,,044-455-4478,,〒214-0021 川崎市多摩区宿河原7-15-17 北辰ビル1F メインナビゲーション トップペー,川崎市,,http://room-kanaenoki.main.jp/,room-kanaenoki.main.jp,wordpress,55,B,wordpress; http_only
a-kokoro,不明,,,info@a-kokoro.com,川崎市中原区小杉町1丁目520-6 CASA CORDERO 304号 info@a-kokoro.,神奈川県,,https://a-kokoro.com/,a-kokoro.com,wordpress,50,B,wordpress; no_profile
家系学®︎公式ページ,スピリチュアル,,09523809524,kakeigaku.contact@gmail.com,,,,https://kakeigaku-contact.hp.peraichi.com/,kakeigaku-contact.hp.peraichi.com,peraichi,50,B,peraichi; no_booking
心と体の不調や人間関係に悩む女性のカウンセリング/メンタルトレーニング/心理検査/各種セラピー,ヨガ,ホログラフィートーク のセラピストとして登,0106-8-120,support@mentalhealth-join.com,| からだを使ってこころを元気にする 神奈川県平塚市のカウンセリングルーム からだを使ってこころを元気にする 神奈川県平塚市のカウンセリングルーム ホーム 無料LINE講座 初めての方へ プロフィー,神奈川県,,https://mentalhealth-join.com/,mentalhealth-join.com,wordpress,50,B,wordpress; no_booking
MUSE ママコーチスクール,鍼灸,代表,08734402852,,,,,https://peraichi.com/landing_pages/view/musecompass,peraichi.com,peraichi,50,B,peraichi; no_pricing
